symbol,setup_type,direction,kill_zone,entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,pnl_pips,exit_reason,partial_taken,htf_bias
USDJPY,CHOCH,BUY,LONDON_OPEN,2025-12-29 06:00:00+00:00,2025-12-30 12:40:00+00:00,156.397,155.73290999999998,155.73290999999998,158.05722500000002,-66.40900000000158,SL_HIT,False,SELL
USDJPY,CHOCH,BUY,NY_OPEN,2026-01-06 13:30:00+00:00,2026-01-06 18:50:00+00:00,156.418,156.701,155.83969599999998,157.86376000000007,28.299999999998704,GIVEBACK_GUARD,False,NEUTRAL
USDJPY,CHOCH,SELL,LONDON_OPEN,2026-01-07 06:00:00+00:00,2026-01-09 03:20:00+00:00,156.536,157.110594,157.110594,155.09951500000003,-57.45939999999905,SL_HIT,False,NEUTRAL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2026-01-09 15:30:00+00:00,2026-01-09 16:10:00+00:00,157.474,157.84,157.84,155.96297500000009,-36.60000000000139,SL_HIT,False,BUY
USDJPY,CHOCH,BUY,LONDON_OPEN,2026-01-12 06:45:00+00:00,2026-01-13 05:10:00+00:00,158.11,158.672,157.18999,160.41002500000008,56.19999999999834,GIVEBACK_GUARD,False,BUY
USDJPY,CHOCH,BUY,NY_OPEN,2026-01-13 15:45:00+00:00,2026-01-13 18:20:00+00:00,158.87,159.146,158.47242,159.86395000000002,27.599999999998204,GIVEBACK_GUARD,False,BUY
USDJPY,CHOCH,BUY,LONDON_OPEN,2026-01-19 06:00:00+00:00,2026-01-20 08:30:00+00:00,157.879,158.407,157.098174,159.83106499999997,52.800000000002,GIVEBACK_GUARD,False,SELL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,NY_OPEN,2026-01-20 15:30:00+00:00,2026-01-20 21:15:00+00:00,157.849,158.096,157.298544,159.22513999999998,24.70000000000141,GIVEBACK_GUARD,False,SELL
USDJPY,CHOCH,BUY,NY_OPEN,2026-01-26 14:45:00+00:00,2026-01-27 10:00:00+00:00,154.12,154.678,152.986414,156.95396500000004,55.79999999999927,GIVEBACK_GUARD,False,NEUTRAL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_CLOSE,2026-01-27 16:30:00+00:00,2026-01-27 19:40:00+00:00,153.17,152.764083,152.764083,154.18479249999996,-40.59169999999881,SL_HIT,False,SELL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_OPEN,2026-02-02 09:00:00+00:00,2026-02-02 15:45:00+00:00,154.838,155.234,155.052282,155.90940999999998,41.553840000000264,GIVEBACK_GUARD,True,BUY
USDJPY,CHOCH,BUY,LONDON_OPEN,2026-02-05 07:45:00+00:00,2026-02-05 12:00:00+00:00,156.967,157.301,156.358656,158.48786000000007,33.399999999997476,GIVEBACK_GUARD,False,BUY
USDJPY,LIQUIDITY_SWEEP_REVERSAL,BUY,LONDON_OPEN,2026-02-09 08:45:00+00:00,2026-02-09 10:20:00+00:00,156.511,156.692,156.124719,157.4767025,18.10000000000116,GIVEBACK_GUARD,False,NEUTRAL
USDJPY,CHOCH,SELL,LONDON_OPEN,2026-02-10 06:00:00+00:00,2026-02-10 16:25:00+00:00,155.268,154.404,156.59456400000002,151.95158999999995,86.40000000000043,GIVEBACK_GUARD,False,SELL
USDJPY,LIQUIDITY_SWEEP_REVERSAL,SELL,NY_OPEN,2026-02-11 15:15:00+00:00,2026-02-11 15:30:00+00:00,153.483,153.821668,153.821668,152.63633000000004,-33.86679999999842,SL_HIT,False,SELL
USDJPY,CHOCH,BUY,LONDON_OPEN,2026-02-12 07:30:00+00:00,2026-02-17 17:35:00+00:00,153.137,153.811,151.951488,156.10078,67.40000000000066,GIVEBACK_GUARD,False,SELL
