symbol,direction,setup_type,kill_zone,exit_reason,hour_utc,day_of_week,week_of_month,month,is_monday,is_friday,is_gbpusd_sell,is_usdjpy_buy,is_eurusd,direction_aligned,outcome_binary,outcome_pips
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,0,1,7,1,0,0,0,1,1,1,17.000000000000348
EURUSD,SELL,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,1,2,7,0,0,0,0,1,1,1,23.299999999999432
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,4,2,7,0,1,0,0,1,1,1,20.800000000000814
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,0,2,7,1,0,0,0,1,1,1,16.499999999999293
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,3,7,0,0,0,0,1,1,1,24.999999999999467
EURUSD,SELL,CHOCH,LONDON_CLOSE,TRAILED_SL,15,1,4,7,0,0,0,0,1,1,1,4.239999999999355
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,3,4,7,0,0,0,0,1,1,1,13.999999999998458
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,3,4,7,0,0,0,0,1,1,0,-64.05919999999954
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,17,4,4,7,0,1,0,0,1,1,1,26.70000000000172
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,7,0,4,7,1,0,0,0,1,1,1,35.799999999999166
EURUSD,BUY,CHOCH,LONDON_OPEN,SL_HIT,6,1,5,7,0,0,0,0,1,1,0,-31.666999999999668
EURUSD,SELL,CHOCH,NY_OPEN,SL_HIT,13,4,1,8,0,1,0,0,1,1,0,-48.97420000000041
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,17,1,1,8,0,0,0,0,1,1,0,-28.857099999999303
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,2,1,8,0,0,0,0,1,1,1,22.599999999999287
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,2,8,0,0,0,0,1,1,1,28.600000000000847
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,3,2,8,0,0,0,0,1,1,0,-3.899999999998904
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,3,2,8,0,0,0,0,1,1,1,12.8000000000017
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,4,3,8,0,1,0,0,1,1,1,16.499999999999293
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_OPEN,SL_HIT,9,2,3,8,0,0,0,0,1,1,0,-27.84139999999935
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,3,4,8,0,0,0,0,1,1,1,32.49999999999975
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,1,1,9,0,0,0,0,1,1,1,29.400000000001647
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,1,1,9,0,0,0,0,1,1,1,29.09999999999968
EURUSD,BUY,CHOCH,LONDON_OPEN,SL_HIT,7,2,2,9,0,0,0,0,1,1,0,-44.67699999999963
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,2,9,0,0,0,0,1,1,1,23.100000000000342
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,3,2,9,0,0,0,0,1,1,1,39.89999999999938
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,1,3,9,0,0,0,0,1,1,1,20.699999999997942
EURUSD,SELL,CHOCH,LONDON_CLOSE,SL_HIT,16,0,4,9,1,0,0,0,1,1,0,-34.473600000000104
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,1,4,9,0,0,0,0,1,1,1,9.319999999999329
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,3,4,9,0,0,0,0,1,1,1,38.66336000000015
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,4,4,9,0,1,0,0,1,1,1,22.199999999998887
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,2,1,10,0,0,0,0,1,1,1,20.899999999999253
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,3,1,10,0,0,0,0,1,1,1,29.399999999999427
EURUSD,BUY,CHOCH,NY_OPEN,SL_HIT,13,2,2,10,0,0,0,0,1,1,0,-46.81020000000036
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,2,3,10,0,0,0,0,1,1,1,10.499999999999954
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,4,4,10,0,1,0,0,1,1,0,-36.741000000000135
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,0,4,10,1,0,0,0,1,1,1,18.80000000000104
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,1,4,10,0,0,0,0,1,1,0,-57.84919999999971
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,17,0,1,11,1,0,0,0,1,1,0,-38.309599999999385
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,2,1,11,0,0,0,0,1,1,1,17.700000000000493
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,2,2,11,0,0,0,0,1,1,1,28.89999999999837
EURUSD,SELL,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,1,3,11,0,0,0,0,1,1,1,26.80000000000016
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,3,11,0,0,0,0,1,1,1,18.499999999999076
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,3,3,11,0,0,0,0,1,1,1,35.99999999999825
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,2,4,11,0,0,0,0,1,1,1,27.199999999998337
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,15,3,4,11,0,0,0,0,1,1,0,-33.75560000000055
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,1,12,0,0,0,0,1,1,1,23.500000000000743
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,4,1,12,0,1,0,0,1,1,1,13.799999999999368
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,0,2,12,1,0,0,0,1,1,0,-29.7913999999988
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,1,2,12,0,0,0,0,1,1,1,23.599999999999177
EURUSD,SELL,CHOCH,LONDON_OPEN,SL_HIT,7,3,2,12,0,0,0,0,1,1,0,-41.91279999999908
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,4,2,12,0,1,0,0,1,1,1,18.599999999999728
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,1,3,12,0,0,0,0,1,1,1,23.49999999999852
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,3,3,12,0,0,0,0,1,1,1,26.39999999999976
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,1,1,1,0,0,0,0,1,1,0,-35.29239999999767
EURUSD,BUY,CHOCH,NY_OPEN,SL_HIT,13,2,1,1,0,0,0,0,1,1,0,-36.74380000000088
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,15,4,2,1,0,1,0,0,1,1,0,-29.09999999999968
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,15,1,2,1,0,0,0,0,1,1,0,-26.550999999999103
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,2,2,1,0,0,0,0,1,1,1,11.000000000001007
EURUSD,BUY,CHOCH,NY_OPEN,SL_HIT,13,3,3,1,0,0,0,0,1,1,0,-30.550200000001304
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,1,3,1,0,0,0,0,1,1,1,38.49999999999909
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,16,0,4,1,1,0,0,0,1,1,1,26.39999999999976
EURUSD,SELL,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,7,1,4,1,0,0,0,0,1,1,1,24.300000000001543
EURUSD,BUY,CHOCH,NY_OPEN,GIVEBACK_GUARD,13,1,4,1,0,0,0,0,1,1,1,29.69999999999917
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,4,1,0,0,0,0,1,1,1,55.20000000000192
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,8,2,4,1,0,0,0,0,1,1,1,19.900000000001583
EURUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,17,3,5,1,0,0,0,0,1,1,1,29.562899999998397
EURUSD,BUY,CHOCH,NY_OPEN,SL_HIT,13,3,1,2,0,0,0,0,1,1,0,-6.800000000000139
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,6,4,1,2,0,1,0,0,1,1,1,22.200000000001108
EURUSD,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,2,2,0,0,0,0,1,1,1,20.998319999999904
EURUSD,BUY,CHOCH,LONDON_CLOSE,SL_HIT,16,1,2,2,0,0,0,0,1,1,0,-50.67519999999881
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,2,2,2,0,0,0,0,1,1,1,39.70000000000029
EURUSD,SELL,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,15,1,3,2,0,0,0,0,1,1,1,20.999999999999908
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,3,3,2,0,0,0,0,1,1,0,-2.40000000000018
EURUSD,BUY,CHOCH,LONDON_OPEN,GIVEBACK_GUARD,9,4,3,2,0,1,0,0,1,1,1,2.8999999999990145
EURUSD,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,15,4,3,2,0,1,0,0,1,1,1,24.073719999999188
EURUSD,SELL,CHOCH,NY_OPEN,END_OF_DATA,13,2,4,2,0,0,0,0,1,1,0,0.0
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,GIVEBACK_GUARD,16,1,2,11,0,0,0,0,0,0,1,7.180000000000177
USDJPY,BUY,CHOCH,LONDON_CLOSE,GIVEBACK_GUARD,17,2,2,11,0,0,0,1,0,1,1,47.59999999999991
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,LONDON_CLOSE,SL_HIT,15,3,2,11,0,0,0,1,0,1,0,-48.67559999999855
USDJPY,SELL,CHOCH,LONDON_OPEN,SL_HIT,6,4,3,11,0,1,0,0,0,0,0,-9.400000000002253
