symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
AUDUSD,BUY,CHOCH,0.62151,0.62169,0.63110,0.820,2025-01-16 17:00,2025-01-16 19:50,0.62169,TRAILED_SL,1.80,0.05,LONDON_CLOSE,BUY,True,,True,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.62045,0.61985,0.62190,0.850,2025-01-17 12:05,2025-01-17 13:40,0.61985,SL_HIT,-6.00,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
AUDUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,0.61974,0.61891,0.62181,0.870,2025-01-17 13:45,2025-01-17 14:35,0.61891,SL_HIT,-8.30,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.61897,0.61887,0.62059,0.750,2025-01-17 16:30,2025-01-17 16:35,0.61887,SL_HIT,-1.00,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
AUDUSD,BUY,CHOCH,0.62180,0.62083,0.63990,0.920,2025-01-17 17:00,2025-01-17 18:55,0.62083,SL_HIT,-9.70,-0.57,LONDON_CLOSE,BUY,True,,False,1,False,0.00
AUDUSD,SELL,CHOCH,0.62035,0.62076,0.61256,0.920,2025-01-20 12:15,2025-01-20 14:45,0.62076,SL_HIT,-4.10,-0.13,NY_OPEN,BUY,True,,False,2,False,0.00
USDJPY,SELL,LIQUIDITY_SWEEP_REVERSAL,155.88000,155.71700,154.24582,1.000,2025-01-20 15:30,2025-01-20 17:05,155.71700,TRAILED_SL,16.30,0.26,LONDON_CLOSE,SELL,True,,True,1,False,0.00
GBPUSD,BUY,CHOCH,1.22865,1.22873,1.24909,0.920,2025-01-21 16:10,2025-01-21 17:55,1.22993,GIVEBACK_GUARD,15.32,18.02,LONDON_CLOSE,NEUTRAL,True,,True,0,True,24.82
AUDUSD,BUY,CHOCH,0.62488,0.62672,0.63736,0.920,2025-01-21 16:20,2025-01-21 21:15,0.62672,TRAILED_SL,11.80,1.11,LONDON_CLOSE,NEUTRAL,True,,True,3,True,2.36
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.54200,155.30600,156.56784,1.000,2025-01-21 16:45,2025-01-21 17:40,155.30600,SL_HIT,-23.60,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
