symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
USDJPY,BUY,HH_HL_CONTINUATION,153.33300,153.33600,153.60050,0.900,2026-02-16 15:50,2026-02-16 17:25,153.33600,TRAILED_SL,3.72,0.35,LONDON_CLOSE,SELL,True,,True,1,True,0.00
USDJPY,BUY,CHOCH,153.13100,153.05700,154.97449,0.920,2026-02-17 13:45,2026-02-17 15:05,153.05700,SL_HIT,-7.40,-0.10,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
AUDUSD,SELL,CHOCH,0.70536,0.70524,0.69597,0.920,2026-02-17 14:45,2026-02-17 15:50,0.70524,TRAILED_SL,2.40,0.06,NY_OPEN,SELL,True,,True,2,True,0.00
AUDUSD,SELL,CHOCH,0.70453,0.70445,0.69307,0.920,2026-02-17 15:50,2026-02-17 18:00,0.70445,TRAILED_SL,9.92,0.22,LONDON_CLOSE,SELL,True,,True,1,True,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.35759,1.35695,1.35968,0.850,2026-02-18 14:10,2026-02-18 14:55,1.35695,SL_HIT,-6.40,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,155.22300,155.22635,155.62800,0.950,2026-02-20 13:50,2026-02-20 14:35,155.21000,GIVEBACK_GUARD,3.50,10.45,NY_OPEN,BUY,True,,True,0,True,19.10
AUDUSD,BUY,HH_HL_CONTINUATION,0.70475,0.70476,0.70698,0.900,2026-02-20 14:00,2026-02-20 15:30,0.70476,TRAILED_SL,1.36,0.13,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
USDJPY,BUY,LIQUIDITY_SWEEP_REVERSAL,155.34400,155.35300,156.49659,0.950,2026-02-20 15:30,2026-02-20 16:40,155.35300,TRAILED_SL,0.90,0.02,LONDON_CLOSE,BUY,True,,True,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.70440,0.70443,0.70647,0.900,2026-02-20 15:35,2026-02-20 16:05,0.70443,TRAILED_SL,3.66,0.37,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
GBPUSD,SELL,CHOCH,1.35059,1.35114,1.33710,0.920,2026-02-23 12:05,2026-02-23 16:15,1.35114,SL_HIT,-5.50,-0.10,NY_OPEN,SELL,True,,False,1,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.70640,0.70598,0.70744,0.750,2026-02-23 14:00,2026-02-23 14:20,0.70598,SL_HIT,-4.25,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
AUDUSD,BUY,HH_HL_CONTINUATION,0.70626,0.70598,0.70730,0.750,2026-02-23 14:30,2026-02-23 14:35,0.70598,SL_HIT,-2.85,-1.00,NY_OPEN,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,154.70400,154.44449,155.52900,0.750,2026-02-23 15:15,2026-02-23 17:05,154.44449,SL_HIT,-25.95,-1.00,LONDON_CLOSE,BUY,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.35202,1.34860,1.36991,0.820,2026-02-23 16:45,2026-02-24 00:00,1.34860,SL_HIT,-34.20,-0.48,LONDON_CLOSE,SELL,True,,False,2,False,0.00
GBPUSD,SELL,LIQUIDITY_GRAB_CONTINUATION,1.34978,1.35044,1.34525,0.970,2026-02-24 12:00,2026-02-24 12:30,1.35044,SL_HIT,-6.60,-0.36,NY_OPEN,NEUTRAL,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,155.88200,155.95000,157.33550,0.750,2026-02-24 12:15,2026-02-24 16:35,155.95000,TRAILED_SL,10.88,0.24,NY_OPEN,BUY,True,,True,2,True,0.00
GBPUSD,BUY,CHOCH,1.34982,1.35232,1.36368,0.820,2026-02-24 12:40,2026-02-24 19:15,1.35232,TRAILED_SL,23.44,0.42,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
GBPUSD,BUY,LIQUIDITY_GRAB_CONTINUATION,1.35127,1.34928,1.35625,0.970,2026-02-25 12:35,2026-02-25 13:20,1.34928,SL_HIT,-19.91,-1.00,NY_OPEN,BUY,True,,False,0,False,0.00
GBPUSD,BUY,HH_HL_CONTINUATION,1.34975,1.35209,1.35236,0.950,2026-02-25 13:45,2026-02-25 14:55,1.35209,TRAILED_SL,12.48,48.00,NY_OPEN,BUY,True,,True,2,True,98.08
GBPUSD,SELL,CHOCH,1.35082,1.35464,1.33758,0.820,2026-02-25 15:50,2026-02-25 18:45,1.35464,SL_HIT,-38.20,-0.72,LONDON_CLOSE,BUY,True,,False,1,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,156.51400,156.51920,156.85950,1.000,2026-02-25 16:50,2026-02-25 17:00,156.51920,TRAILED_SL,6.45,12.40,LONDON_CLOSE,BUY,True,,True,0,True,0.00
GBPUSD,BUY,CHOCH,1.35298,1.35302,1.36475,1.000,2026-02-26 14:00,2026-02-26 15:40,1.35396,GIVEBACK_GUARD,9.14,21.01,NY_OPEN,BUY,True,,True,0,True,56.09
AUDUSD,BUY,CHOCH,0.71224,0.70942,0.71929,0.920,2026-02-26 15:15,2026-02-26 17:10,0.70942,SL_HIT,-28.22,-1.00,LONDON_CLOSE,NEUTRAL,True,,False,0,False,0.00
USDJPY,BUY,HH_HL_CONTINUATION,156.09000,156.09300,156.23600,0.950,2026-02-26 15:50,2026-02-26 16:05,156.23600,TP_HIT,9.44,31.47,LONDON_CLOSE,BUY,True,,True,0,True,39.67
GBPUSD,BUY,HH_HL_CONTINUATION,1.35369,1.35372,1.35608,1.000,2026-02-26 16:00,2026-02-26 17:15,1.35372,TRAILED_SL,3.66,0.35,LONDON_CLOSE,NEUTRAL,True,,True,1,True,0.00
USDJPY,BUY,LIQUIDITY_GRAB_CONTINUATION,155.92600,155.93849,156.55058,0.970,2026-02-26 16:45,2026-02-26 18:55,156.12900,GIVEBACK_GUARD,23.11,18.50,LONDON_CLOSE,BUY,True,,True,0,True,25.06
USDJPY,BUY,HH_HL_CONTINUATION,155.95200,155.95665,156.62400,0.850,2026-02-27 15:00,2026-02-27 15:25,155.96400,GIVEBACK_GUARD,6.06,13.03,NY_OPEN,BUY,True,,True,0,True,10.97
AUDUSD,BUY,CHOCH,0.71098,0.71175,0.72370,1.000,2026-02-27 17:00,2026-02-27 18:25,0.71217,GIVEBACK_GUARD,9.92,23.07,LONDON_CLOSE,BUY,True,,True,1,True,46.05
