symbol,direction,setup_type,entry_price,sl_price,tp_price,confidence,entry_time,exit_time,exit_price,exit_reason,pnl_pips,rr_achieved,killzone,htf_bias,sniper_passed,sniper_skip_reason,partial_taken,trail_count,be_applied,peak_r
GBPUSD,SELL,CONTINUATION_OB,1.21241,1.21345,1.19254,0.980,2025-01-13 12:10,2025-01-13 13:00,1.21345,SL_HIT,-10.40,-0.16,NY_OPEN,SELL,True,,False,1,False,0.00
USDJPY,SELL,CONTINUATION_OB,157.31000,157.33800,155.48839,0.880,2025-01-13 12:25,2025-01-13 13:40,157.33800,SL_HIT,-2.80,-0.05,NY_OPEN,SELL,True,,False,2,False,0.00
GBPUSD,SELL,CONTINUATION_OB,1.21241,1.21290,1.19410,1.000,2025-01-13 13:00,2025-01-13 13:15,1.21290,SL_HIT,-4.90,-0.33,NY_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,SELL,CONTINUATION_OB,1.21270,1.21158,1.19370,0.980,2025-01-13 13:30,2025-01-13 14:40,1.21158,TRAILED_SL,9.55,0.15,NY_OPEN,SELL,True,,True,2,True,0.00
USDJPY,SELL,CONTINUATION_OB,157.32100,157.15700,155.53239,0.930,2025-01-13 13:40,2025-01-13 15:45,157.15700,TRAILED_SL,12.30,0.21,NY_OPEN,SELL,True,,True,2,True,0.00
GBPUSD,SELL,CONTINUATION_OB,1.21141,1.21331,1.18854,0.990,2025-01-13 14:40,2025-01-13 15:20,1.21331,SL_HIT,-19.00,-0.25,NY_OPEN,SELL,True,,False,1,False,0.00
GBPUSD,BUY,CHOCH,1.21400,1.21404,1.23012,0.820,2025-01-13 16:15,2025-01-13 17:25,1.21404,TRAILED_SL,0.70,0.01,LONDON_CLOSE,SELL,True,,True,2,True,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.11200,157.20500,156.72850,0.850,2025-01-13 16:20,2025-01-13 16:25,157.20500,SL_HIT,-9.30,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.35300,157.49600,156.89250,0.900,2025-01-13 16:55,2025-01-13 17:30,157.49600,SL_HIT,-14.30,-1.00,LONDON_CLOSE,SELL,True,,False,0,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.62300,157.61725,157.42350,0.900,2025-01-14 07:35,2025-01-14 07:55,157.58000,GIVEBACK_GUARD,7.90,13.74,LONDON_OPEN,NEUTRAL,True,,True,0,True,19.65
GBPUSD,SELL,CHOCH,1.21871,1.21702,1.19791,0.920,2025-01-14 12:45,2025-01-14 15:30,1.21702,TRAILED_SL,11.85,0.14,NY_OPEN,SELL,True,,True,4,True,0.00
USDJPY,BUY,CONTINUATION_OB,157.83000,157.86400,160.09135,0.880,2025-01-14 12:50,2025-01-14 13:30,157.86400,TRAILED_SL,2.15,0.03,NY_OPEN,NEUTRAL,True,,True,2,True,0.00
USDJPY,BUY,FVG_CONTINUATION,157.89400,157.83300,158.91551,0.830,2025-01-14 13:30,2025-01-14 15:25,157.83300,SL_HIT,-6.10,-0.15,NY_OPEN,NEUTRAL,True,,False,2,False,0.00
USDJPY,SELL,CHOCH,157.78000,157.85400,156.11686,0.820,2025-01-14 16:20,2025-01-14 16:45,157.85400,SL_HIT,-7.40,-0.11,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
GBPUSD,SELL,LH_LL_CONTINUATION,1.21705,1.21698,1.21136,1.000,2025-01-14 16:40,2025-01-14 17:00,1.21761,GIVEBACK_GUARD,4.10,5.94,LONDON_CLOSE,SELL,True,,True,0,True,20.72
USDJPY,SELL,CHOCH,157.80600,158.15900,156.20786,0.820,2025-01-14 16:55,2025-01-14 19:25,158.15900,SL_HIT,-35.30,-0.55,LONDON_CLOSE,NEUTRAL,True,,False,1,False,0.00
USDJPY,SELL,LH_LL_CONTINUATION,157.28100,157.27635,156.26000,0.950,2025-01-15 09:00,2025-01-15 09:20,157.25800,GIVEBACK_GUARD,5.80,12.47,LONDON_OPEN,SELL,True,,True,0,True,15.70
GBPUSD,SELL,LIQUIDITY_SWEEP_REVERSAL,1.21937,1.22198,1.20746,0.950,2025-01-15 09:00,2025-01-15 09:45,1.22198,SL_HIT,-26.10,-1.00,LONDON_OPEN,SELL,True,,False,0,False,0.00
GBPUSD,BUY,CHOCH,1.22334,1.22117,1.24804,0.820,2025-01-15 09:55,2025-01-15 11:40,1.22117,SL_HIT,-21.70,-0.22,LONDON_OPEN,SELL,True,,False,1,False,0.00
USDJPY,SELL,FVG_CONTINUATION,156.96000,157.01100,155.90216,0.930,2025-01-15 13:35,2025-01-15 14:45,157.01100,SL_HIT,-5.10,-0.12,NY_OPEN,SELL,True,,False,1,False,0.00
